id,url,skills,input_url,warning,warning_code,error
kim-crane-a677a05a,https://www.linkedin.com/in/kim-crane-a677a05a,"[""Developing Organizational Awareness"",""Emotional Intelligence Basics"",""Life Mastery: Achieving Happiness and Success""]",https://www.linkedin.com/in/kim-crane-a677a05a,,,
kinzi-stone,https://www.linkedin.com/in/kinzi-stone,"[""BGP Essential Training"",""Networking Foundations: Wide Area Networks (WANs)"",""Cisco Networking Foundations: Switching and Routing""]",https://www.linkedin.com/in/kinzi-stone,,,
ashok-vallapaneni-b41b18a8,https://www.linkedin.com/in/ashok-vallapaneni-b41b18a8,"[""Hadoop for Data Science Tips, Tricks, & Techniques"",""Introduction to Analytics Engineering"",""Implementing a Data Warehouse SQL Server 2019""]",https://www.linkedin.com/in/ashok-vallapaneni-b41b18a8,,,
tessa-scanlon-b5a669a2,https://www.linkedin.com/in/tessa-scanlon-b5a669a2,"[""Hands-On Data Science using SQL, Tableau, Python, and Spark"",""Data Analytics for Students"",""Data Analytics for Business Professionals""]",https://www.linkedin.com/in/tessa-scanlon-b5a669a2,,,
dclafleur,https://www.linkedin.com/in/dclafleur,"[""Learning ArcGIS Python Scripting"",""Amazon EC2 Essential Training"",""Confident Communication for Introverts""]",https://www.linkedin.com/in/dclafleur,,,
douglas-schuster,https://www.linkedin.com/in/douglas-schuster,"[""Hadoop for Data Science Tips, Tricks, & Techniques"",""Hands-On Data Science using SQL, Tableau, Python, and Spark"",""Hands-On Data Science: 4 Services Analysis in Spark""]",https://www.linkedin.com/in/douglas-schuster,,,
amirthavarshini-baliya-mohan-9a20a27a,https://www.linkedin.com/in/amirthavarshini-baliya-mohan-9a20a27a,"[""Python for Data Engineering: from Beginner to Advanced"",""Hands-On Data Science using SQL, Tableau, Python, and Spark"",""AI and Data Science for SQL Developers: From Beginner to Advanced""]",https://www.linkedin.com/in/amirthavarshini-baliya-mohan-9a20a27a,,,
zwalters,https://www.linkedin.com/in/zwalters,"[""Introducing ASP.NET Core"",""Learning ASP.NET"",""ASP.NET MVC 5 Identity: Authentication and Authorization""]",https://www.linkedin.com/in/zwalters,,,
seth-siegel-4a627119a,https://www.linkedin.com/in/sethasiegel,"[""Learning Revit 2024"",""Cert Prep: Autodesk Inventor Certified Professional"",""Double Down: Bet on Yourself and Succeed on Your Own Terms""]",https://www.linkedin.com/in/seth-siegel-4a627119a,,,
calvin-yu-b051b4162,https://www.linkedin.com/in/calyu3870,"[""Hands-On Data Science using SQL, Tableau, Python, and Spark"",""TensorFlow 2.0: Working with Images"",""Machine Learning and AI Foundations: Recommendations""]",https://www.linkedin.com/in/calvin-yu-b051b4162,,,
mike-johns-638a494,https://www.linkedin.com/in/mike-johns-638a494,"[""Machine Learning and AI Foundations: Recommendations"",""Python for Data Science and Machine Learning Essential Training Part 1"",""AI and Data Science for SQL Developers: From Beginner to Advanced""]",https://www.linkedin.com/in/mike-johns-638a494,,,
george-mason-879aa229,https://www.linkedin.com/in/george-mason3,"[""Engaging Your Virtual Audience"",""Excel: Charts and Graphs In Depth"",""Media Composer 2020 Essential Training: 101 Fundamentals 1""]",https://www.linkedin.com/in/george-mason-879aa229,,,
